conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1964664478387388578,Wed Sep 10 06:12:40 +0000 2025,0,@mmarleyt @AirinDatangLagi Tugas ternak mulyono adalah menutup kelakuan bobrok mukidi sekeluarga. Sudah dikasih ngokop ketek mantu yg bsunya terkenal se Nusantara dikutuk goblokpun rela...yg penting bisa makan tak perlu berkeringet bener kan Jongos mukidi? Kasta TERENDAH pemghuni SOSMED,1965659671311921443,,mmarleyt,in,,0,1,0,https://x.com/undefined/status/1965659671311921443,1903089951207759872,
1965659246047232369,Wed Sep 10 06:10:59 +0000 2025,9,PENDUKUNG PALING BERBAHAYA ADALAH TERNAK MULYONO DAN PEMILIK PETERNAKAN PALING BERBAHAYA ITU GENK SOLO.,1965659246047232369,,,in,,0,0,3,https://x.com/undefined/status/1965659246047232369,68918164,
1965310544359149597,Wed Sep 10 05:49:16 +0000 2025,0,@Metro_TV Nepalkan mulyono betina ini,1965653780500021561,,Metro_TV,in,,0,0,0,https://x.com/undefined/status/1965653780500021561,970106406828257280,
1965653680449093791,Wed Sep 10 05:48:52 +0000 2025,0,Orang udah mulai was was kalau influencer 17+8 itu Pro mulyono fandomnya masih mikir yang nyerang voters 02,1965653680449093791,,,in,,0,0,0,https://x.com/undefined/status/1965653680449093791,1625792368996937728,
1965289292147855675,Wed Sep 10 05:43:32 +0000 2025,3,@BBCIndonesia disana gak ada penghianat dan merasakan sakit yang sama REVOLUTIONER ARMY. nahhh di indonesia ada ternak mulyono dan pe es i di tambah lagi semua mata ijo kalo liat duit.,1965652341077803073,,BBCIndonesia,in,,0,0,0,https://x.com/undefined/status/1965652341077803073,1840454452278611968,
1965627017392767387,Wed Sep 10 05:43:22 +0000 2025,0,@PartaiSocmed @prabowo dicoba dulu sarjana teknik elektro jadi menteri keuangan mungkin bisa menyerum utang-utang negara yang dicipakan mulyono dan mulyani sampai hangus,1965652296270053567,,PartaiSocmed,in,,0,0,0,https://x.com/undefined/status/1965652296270053567,21816575,
1965613452376109564,Wed Sep 10 05:42:58 +0000 2025,1,@mr_abcx Periode 1 Mulyono yang mimpin emang dia. Yang kedua barulah dia dan Mulyono. Tapi tololnya adalah Mulyono yang pernah jadi kepala negara tertinggi malah gak ada harga dirinya di depan emak2 ini,1965652195317350471,,mr_abcx,in,,0,0,0,https://x.com/undefined/status/1965652195317350471,1765551994947956736,
1965580322814517301,Wed Sep 10 05:42:36 +0000 2025,373,@ladifsaint Guys ingat dia itu ada hubungannya sama Luhut kalo ada hubungan sama Luhut berarti ada koneksi sama Mulyono. Untung aja dia blunder parah,1965652106175738278,,ladifsaint,in,,0,9,22,https://x.com/undefined/status/1965652106175738278,1279711219834744833,
1965183883562926472,Wed Sep 10 05:41:44 +0000 2025,0,@grumpyygirl @tanyakanrl gw gada omongin pengganti gw hanya mempermasalahkan kenapa SMI harus dibela dengan kesalahan dia sepanjang 15 tahun mulyono memang sialan tp bukan berarti SMI pure innocent jgn bawa konteks jd ngelebar kemana mana,1965651886146822431,,grumpyygirl,in,,0,1,0,https://x.com/undefined/status/1965651886146822431,1510986121261436928,
1965463849953599942,Wed Sep 10 05:40:26 +0000 2025,0,@dodojogja2 @randomable_ iya pokonya salah mulyono ,1965651557674016851,,dodojogja2,in,,0,0,0,https://x.com/undefined/status/1965651557674016851,1640615371135922178,
1965183883562926472,Wed Sep 10 05:39:57 +0000 2025,0,@grumpyygirl @tanyakanrl emgnya gw ngomongin soal ptkp? soal rakyat kecil capek dengan SMI bukan soal ptkp anda pikir tidak ada campur tangan sri mulyani dalam kenaikan harga barang pokok &amp; BBM dari era sibuya sampe ke mulyono? siapa yg urus alokasi APBN? SMI secara sadar nurut mulyono ya salah,1965651439289811104,,grumpyygirl,in,,0,1,0,https://x.com/undefined/status/1965651439289811104,1510986121261436928,
1965585523713675345,Wed Sep 10 05:38:51 +0000 2025,0,@alshonew @onni_saputra994 @Mdy_Asmara1701 Hidup mulyono,1965651160767098906,,alshonew,in,,0,0,0,https://x.com/undefined/status/1965651160767098906,1843969688625401856,
1965650842289385958,Wed Sep 10 05:37:35 +0000 2025,1,Apa program Mulyono yg bisa di turunkan krn kemanfaatannya buat masyarakat ??? https://t.co/IKlOuq8xRT,1965650842289385958,https://pbs.twimg.com/ext_tw_video_thumb/1965650795795501056/pu/img/EIn8IKAIf6onUV-6.jpg,,in,,0,0,0,https://x.com/undefined/status/1965650842289385958,1040683594954366976,
1965650668817146291,Wed Sep 10 05:36:54 +0000 2025,0,Klarifikasi Putra Menkeu Purbaya: Unggahan Soal Sri Mulyani Hanya Bercanda Singgung Ternak Mulyono https://t.co/zf3LdevCTY https://t.co/ZEpDuRG3NQ,1965650668817146291,https://pbs.twimg.com/media/G0dk3ATbgAAeMHX.png,,in,,0,0,0,https://x.com/undefined/status/1965650668817146291,1565312729556328449,
1965596761814433919,Wed Sep 10 05:36:51 +0000 2025,8,@Gojekmilitan @prabowo Coba @bang_dasco @Gerindra apakah dulu ni termul. Mantap pak @prabowo disini keliatan watak asli termul. Dan ini bukti klw suatu saat anda bakal di kebiri sama termul dan Mulyono genk solo,1965650657685504334,,Gojekmilitan,in,,0,0,2,https://x.com/undefined/status/1965650657685504334,1235703841904943104,
1965644708199498198,Wed Sep 10 05:36:42 +0000 2025,2,@_zhyme Ternak Mulyono pada diem ⁉️ dihina ma bocil alay.,1965650619529929072,,_zhyme,in,,0,0,1,https://x.com/undefined/status/1965650619529929072,1825333193568129024,
